분류|대출건수합계|평균대출건수
326.3|140|3.59
450.0|140|9.33
023.2|140|12.73
563.7|140|17.5
522.1|140|3.59
687.0|140|10.0
13.32|140|20.0
330.99|140|10.0
370.185|139|7.72
365.0077|139|17.38
519.98|139|13.9
360.99|139|6.32
160.04|139|19.86
518.12|139|23.17
673.1|139|19.86
566.812|139|34.75
676|139|34.75
511.1682|139|8.69
510.3|139|4.79
688.0926|139|12.64
475.163|139|17.38
516.47|139|8.69
658.099|139|12.64
331.508|139|23.17
987.9029|138|13.8
814.6082|138|7.67
238.9|138|15.33
166.3|138|8.12
340.2|138|4.76
650.0|138|13.8
221.2|138|15.33
380.9|138|8.12
517.4|138|6.27
183.3|138|7.26
518.5|138|15.33
331.37|137|5.27
750.77|137|34.25
235.83|137|5.48
388.211|137|7.61
234.17|137|13.7
350.04|137|3.91
511.168|137|4.72
797.7|137|8.56
920.37|137|22.83
325.019|137|4.72
332.63|137|8.56
710.13|137|4.42
342.8|136|5.23
370.19|136|11.33
321.542|136|11.33
029.52|136|7.56
412.85|136|19.43
510.0|136|15.11
201.0|136|6.18
517.8|136|19.43
365.8|136|4.39
235.82|136|5.91
325.348|136|7.56
181.0|136|17.0
510.19|136|11.33
233.31|136|12.36
324.4|136|9.07
982.996|136|27.2
386.511|135|5.87
327.89|135|16.88
912.031|135|9.64
160.258|135|27.0
780.0|135|19.29
811.62|135|1.99
325.551|135|13.5
379.17|135|10.38
813.09|135|2.81
166|135|7.11
759.3|135|12.27
366.4|135|5.19
330.0|135|9.64
388.2099|135|16.88
850|135|6.75
164.55|135|7.11
322.95|135|3.29
811.61|135|7.5
517.372|135|9.0
511.0|135|16.88
360.8|135|27.0
472.193|135|13.5
540.01|134|5.15
325.704|134|22.33
342.0|134|10.31
513.813|134|13.4
192.7|134|4.32
238.99|134|11.17
004.783|134|6.38
114.504|134|33.5
233.38|134|13.4
739.3|134|6.7
981.2|134|6.09
151.58|134|7.44
821|134|6.7
365.48|134|6.38
233.66|134|16.75
141.0|134|22.33
070.1|134|4.79
327.5|134|16.75
510.911|134|7.05
326.371|134|5.83
522|134|5.15
710.0|134|4.96
325.553|133|9.5
338.073|133|33.25
370.109|133|7.39
909.1|133|6.05
982.3902|133|9.5
004.735|133|12.09
371.0|133|4.75
326.34|133|5.78
982.7102|133|33.25
982.5902|133|44.33
594.5542|133|11.08
606.926|133|19.0
678|133|16.62
152.7|133|5.32
440.911|133|10.23
308.0|133|8.87
850.9|132|6.6
820.907|132|2.87
340.220942|132|26.4
600.7|132|14.67
840.9|132|4.89
700.1|132|5.5
659.2|132|33.0
858.0|132|9.43
589.7|132|14.67
691.0|132|6.29
912.063|132|26.4
376|132|22.0
981.1802|132|22.0
813|132|4.71
331.5414|132|7.76
023|132|6.0
350.911|132|6.6
380.913|132|6.0
594.257|132|14.67
392.4|132|14.67
897.7|132|6.29
323.694|131|14.56
984.2902|131|16.38
300.1|131|13.1
454.0|131|5.95
711.408|131|21.83
792.2|131|16.38
817.0|131|10.92
238.20911|131|5.95
912.072|131|16.38
425.7|131|21.83
921.03|131|21.83
360.13|131|4.68
490.0|131|10.08
004.1|131|10.92
981.28|131|16.38
547|130|7.22
388.211|130|43.33
331.236|130|11.82
653.13|130|8.67
350.076|130|16.25
324.3|130|8.67
324.5|130|9.29
639.509|130|21.67
5.115|130|18.57
349.11012|130|3.42
360.1|130|7.22
700|130|5.42
350.83|130|7.65
631.3|130|8.12
231.6|130|5.0
814|130|6.5
41.0|130|8.12
109.0|130|14.44
698.8|130|26.0
372.42|130|10.0
804|130|13.0
609.24|130|32.5
233.21|130|10.0
893|130|5.42
160.36|130|11.82
560.77|130|26.0
563.75|130|21.67
982.4102|130|32.5
377.8|129|9.21
610.911|129|6.79
594.5545|129|11.73
525.49|129|8.6
986.302|129|21.5
596.1|129|11.73
309.115|129|6.79
232.8|129|9.21
902.5|129|7.17
326.39|129|5.86
338.4|129|5.86
672.3|129|5.61
331.3|129|18.43
194.9|129|4.16
362.11|129|14.33
982.9602|129|16.12
912.6|129|7.17
831.3|129|11.73
528|129|12.9
989.11|128|1.8
670.0|128|9.14
984.302|128|14.22
660.1|128|16.0
984.02|128|11.64
362.42|128|9.85
653.29|128|18.29
350.0|128|11.64
516.9385|128|16.0
201.8|128|6.1
219.0|128|8.53
556.1|128|9.14
854.0|128|9.85
340.23|128|6.74
574.752077|127|25.4
410.072|127|42.33
233.8|127|11.55
653.42|127|25.4
162.5|127|18.14
569.92|127|1.51
525.3|127|11.55
513.11|127|10.58
812.68|127|9.77
365.1|127|18.14
701.2|127|3.63
714.7|127|5.77
654.51|127|11.55
911.034|127|9.07
437.0|127|12.7
610.942|127|14.11
513.85|127|12.7
998.4|126|7.88
982.994202|126|25.2
594.57|126|10.5
612.3|126|2.25
842.09|126|6.63
530.969|126|6.63
730.4|126|18.0
600.15|126|5.04
233.41|126|11.45
326.209|126|14.0
337.09|126|6.63
182.6911|126|21.0
606.911|126|5.48
982|126|10.5
595.44|126|25.2
390.913|125|10.42
188.8|125|25.0
512.4|125|11.36
592.0099|125|31.25
328.51|125|10.42
727.4|125|20.83
653.0|125|15.62
520|125|5.43
320.077|125|25.0
321.52|125|5.95
568.8|125|4.31
650.7|125|11.36
374.7|125|4.46
519.81|125|5.95
740.46|125|125.0
981.44502|125|41.67
811|125|2.5
606.928|125|31.25
540.09|124|7.75
446.8|124|10.33
574.06|124|24.8
152.418|124|13.78
160.328|124|6.2
325.15|124|20.67
811.36|124|0.98
426.7|124|11.27
832.6|124|7.75
291.12|124|5.64
338.3|124|6.89
516.3|124|11.27
569.981|124|1.29
921.05|123|20.5
511.47|123|41.0
691.732|123|8.79
323.0911|123|9.46
549.782|123|8.2
324.2|123|6.83
653.269|123|15.38
029.04|123|5.35
322.83|123|8.79
658.31|123|6.15
566.5|123|6.47
327.209|123|13.67
219.191|123|15.38
340.918|123|5.35
219.23|123|8.79
361.86|123|4.73
230.81|123|10.25
692.57|122|6.42
911.054|122|8.71
929.0|122|9.38
152.21|122|4.69
991.3|122|5.55
385.0|122|6.78
591.95|122|4.07
513.8099|122|20.33
474.3282|122|12.2
377.042|122|15.25
809.98|122|6.78
998.8|122|13.56
497.68|122|20.33
519.81|122|8.71
181.383|122|15.25
911.049|122|5.81
815|121|5.04
181.11|121|10.08
373.2|121|7.56
180.99|121|13.44
326.31|121|3.1
148.1|121|10.08
563.9|121|13.44
379.11|121|8.07
673.194|121|13.44
381.750912|121|11.0
981.41|121|60.5
673.5309|120|40.0
516.42|120|12.0
349.97|120|8.57
688.1|120|20.0
004.62|120|9.23
929.06|120|12.0
522.6|120|12.0
325.52|120|10.0
919|120|10.91
542.8|120|15.0
981.4302|120|24.0
539.42|120|9.23
982.57102|120|30.0
331.6|120|6.32
182.3|120|8.0
513.39|120|8.57
721|120|8.57
233.37|120|12.0
598.123|119|17.0
567.013|119|10.82
574.5|119|14.88
554.1|119|4.58
215.8|119|7.93
499.743|119|10.82
457.279|119|6.61
231.4|119|9.92
004.586|119|14.88
270|119|11.9
165.21|119|9.15
238.2|119|4.76
517.54|119|9.92
370.8|119|4.76
689|119|7.93
519.992|119|11.9
451.31|119|11.9
981.18802|119|14.88
673.19|119|39.67
913.08|119|17.0
701.013|118|3.47
813.808|118|1.18
324.1|118|4.92
253|118|9.83
331.233|118|6.94
542.2|118|13.11
329.44|118|3.19
004.15|118|11.8
609.13|118|4.72
365.076|118|29.5
325.9076|118|13.11
165.55|118|14.75
558.3092|118|19.67
913.05|118|14.75
984.2|118|19.67
498.0|118|10.73
379.2|118|11.8
328.16|118|7.38
731.1|118|8.43
594.392|118|10.73
327.83077|118|39.33
151.581|118|6.21
390.942|118|8.43
512.5157|118|9.83
992.1|118|13.11
4.586|118|29.5
199.7|118|19.67
892.2|118|6.94
378|118|2.51
429.22|117|16.71
606.942|117|23.4
234.13|117|11.7
365.541|117|5.57
231.93|117|1.72
330.9|117|5.09
165.8|117|13.0
573|117|3.9
513.8904|117|14.62
327.09|117|19.5
764.0|117|14.62
071.1|117|1.83
631.21105|117|9.0
810.907|117|1.86
321.32099|117|29.25
678.5|117|23.4
325.34|117|8.36
381.7|117|9.0
600.423|117|10.64
338.181|117|5.32
811.109|117|4.03
367.4|117|14.62
981.28|117|29.25
999.99|116|6.44
344.911|116|3.74
926.06|116|16.57
233.64|116|10.55
325.431077|116|29.0
220.9|116|3.74
184.5|116|29.0
518.44|116|8.29
414.0|116|10.55
233.24|116|19.33
148.2|116|10.55
688.6099|116|14.5
134|116|11.6
594.9|116|14.5
231.8|116|10.55
547.8|116|16.57
233.76|116|12.89
617.04|116|19.33
691.3|116|11.6
374.4|116|2.64
811.36|116|0.48
859.81|116|9.67
911.009|116|2.42
271|116|29.0
220.1|116|8.29
070.19|115|4.6
344.942|115|5.48
986.8|115|57.5
566.814|115|19.17
881.0|115|23.0
335.4|115|57.5
559.314|115|19.17
470.1|115|7.67
574.8055|115|12.78
711.1|115|7.67
231.42|115|8.85
334.2|115|9.58
233.1|115|7.67
556.1|115|23.0
11.2|115|8.85
204|115|11.5
366.13|115|10.45
911.0585|115|3.29
231.41|115|10.45
911.8295|115|3.29
024.6|115|9.58
828.0|115|5.48
331.9|115|5.0
925.5|115|16.43
070.99|115|3.83
811.607|114|11.4
338.304|114|9.5
998.3|114|7.12
155.7|114|14.25
320.913|114|12.67
325.431|114|11.4
220.915|114|7.12
592.0237|114|114.0
513.752|114|16.29
233.23|114|16.29
378.39|114|14.25
600.99|114|11.4
535.9|114|6.33
367.8|114|14.25
911.033|114|5.43
513.9312|114|8.77
542.6021|114|22.8
377.0|114|9.5
514.983|114|12.67
609.26|114|8.77
4.21|114|14.25
429.0|113|16.14
200.0|113|16.14
688.0911|113|4.04
331.509|113|22.6
537|113|3.65
539.97|113|2.46
670.3|113|12.56
320.92|113|7.53
331.132|113|10.27
472.14|113|14.12
235.4|113|5.95
594.18|113|18.83
359|112|1.49
233.25|112|16.0
692.9|112|7.47
540.24|112|5.89
375.222|112|9.33
517.544|112|12.44
331.50911|112|6.59
236.911|112|7.0
386.5|112|14.0
677.47|112|16.0
309.0|112|7.47
384.3|112|3.86
391.2|112|5.89
566.4|112|22.4
598.12|112|12.44
540.09111|112|4.31
597.6|112|16.0
331.17|111|6.53
513.89|111|22.2
334.21|111|8.54
181.845|111|22.2
635|111|18.5
598.41|111|6.94
912.02|111|15.86
983.202|111|10.09
539.913|111|15.86
379.17|111|4.83
982.99602|111|22.2
673.511099|111|9.25
194.1|111|7.4
767.5|111|18.5
800.99|111|8.54
340.18|111|8.54
981.602|111|13.88
350.704|111|9.25
701.03|111|4.62
223.84|111|22.2
611.0|110|7.86
5.73|110|18.33
569.3|110|7.33
189.3|110|6.47
5.0|110|15.71
523.2|110|18.33
523.22|110|8.46
321.329077|110|55.0
515.4|110|11.0
226.911|110|6.47
588.022|110|6.88
366.6|110|3.67
810.907|110|1.9
410.1|110|11.0
792.1|110|12.22
490.69|110|10.0
656.25|110|18.33
259.3|110|10.0
516.93896|110|8.46
676.2099|110|11.0
519.8|109|5.74
189.5|109|12.11
512.49|109|6.41
517.89|109|9.08
443.3|109|6.81
980.22|109|12.11
679.4|109|1.88
473.0|109|9.08
360.004|109|12.11
811.709|109|1.91
519.74|109|10.9
334.71|109|13.62
918.4|109|21.8
525.7|109|9.08
525.9|109|13.62
713.02|109|4.54
600.911|109|13.62
653.268|109|21.8
892.89|109|6.06
231.18|109|15.57
981.02|109|12.11
222|109|6.81
594.14|109|27.25
199.6|108|7.2
365.72077|108|27.0
620.9|108|12.0
413.8027|108|36.0
70.42|108|12.0
323.0911|108|36.0
415.0|108|12.0
338.5|108|7.71
530.41|108|7.2
370.911|108|3.6
325.14|108|9.82
148.4|107|6.69
507|107|8.92
327.43|107|35.67
375.47|107|10.7
360.04|107|7.64
368.11|107|9.73
566.21|107|10.7
609.9|107|11.89
653.2|107|11.89
476.1|107|7.64
857|107|10.7
4.588|107|21.4
564.4|107|7.64
513.35|107|13.38
350.5|107|3.45
911.081|107|17.83
448.3|107|11.89
198|107|15.29
160.214|107|53.5
377.256|107|8.23
380.911|107|3.34
183.646|107|6.69
325.743|107|10.7
519.3923|107|9.73
223.862|106|26.5
573.49|106|17.67
511.404|106|8.15
808.6|106|10.6
236.903|106|7.07
291.1|106|3.31
740.76|106|21.2
981.902|106|35.33
160.3|106|5.89
594.09|106|10.6
481.508|106|8.83
517.57|106|7.57
109.9|106|6.24
924.8|106|17.67
388.311|106|10.6
517.36|106|15.14
911.01|106|2.79
325.344|105|7.0
840|105|5.83
984.9102|105|13.12
513.93|105|10.5
981.5802|105|17.5
225.84|105|21.0
004.5782|105|10.5
637|105|7.5
527.4786|105|21.0
711|105|4.38
600.9204|105|21.0
364.1|105|13.12
29.83|105|15.0
676.2|105|13.12
556.2|105|3.89
843.09|105|4.38
942.06|105|10.5
594.677|105|15.0
020.4|105|8.08
326.71|105|2.56
513.8544|105|11.67
566.04|105|21.0
502|105|10.5
616.15|105|13.12
823.8|104|8.67
349.11013|104|4.73
566.36|104|6.93
636.0|104|10.4
325.521|104|26.0
820|104|1.68
228.3|104|9.45
560.99|104|14.86
529.6|104|5.78
219.15|104|8.0
390.911|104|7.43
711.2|104|4.73
327.5442|104|26.0
766|104|8.0
515.3|104|9.45
142.2|104|8.67
321|104|10.4
377.004|104|6.93
811.3|104|2.54
228.8|103|4.9
325.98|103|12.88
376.5|103|6.06
300.11|103|4.9
688.0913|103|6.44
740.9|103|25.75
983.02|103|9.36
892.8309|103|6.87
813.709|103|2.58
121|103|6.87
573.41|103|8.58
226.9|103|9.36
980.8|103|4.48
592.03|103|9.36
594.5547|103|6.44
892.7|103|10.3
233.211|103|8.58
340.913|103|7.36
336.40911|103|9.36
811.1|103|6.06
236.0|103|6.87
365.56|103|14.71
515.18|103|14.71
431.14|103|17.17
759.7|102|11.33
325.745|102|17.0
515.16|102|3.64
792.8077|102|25.5
924.06|102|11.33
420.71|102|11.33
384.1|102|17.0
511.84|102|20.4
859.32|102|11.33
574.4|102|12.75
211.6|102|6.0
327.92|102|14.57
530.4|102|9.27
811.35|102|3.19
592.3072|102|51.0
668.5|102|9.27
155.0|101|14.43
694.3|101|11.22
223.56|101|5.61
653.26|101|20.2
160.8|101|12.62
331.50913|101|9.18
984.29402|101|25.25
654.1|101|16.83
320.8|101|7.21
594.523|101|16.83
328.4|101|4.21
651.04|101|11.22
515|101|12.62
322.0|101|9.18
912.033|101|14.43
329.07|101|33.67
892.6|101|25.25
986.7802|101|33.67
610.928|100|33.33
325.077|100|33.33
334.72|100|10.0
325.745|100|33.33
517.647|100|11.11
321.326|100|12.5
563.5|100|12.5
326.2|100|7.14
366.0076|100|8.33
982.3602|100|25.0
992.996|100|6.67
340.9111|100|5.0
662.5|100|25.0
372.2|100|3.45
631|100|6.25
334.25|100|5.88
812.66|100|25.0
646.1|100|25.0
410.25|100|50.0
324.35|100|7.69
594.5536|100|14.29
594.5542|100|20.0
004.2|100|11.11
892|100|8.33
527.386|100|11.11
331.65|100|6.67
184.4|99|16.5
515.1|99|14.14
448.34|99|9.9
169.929947|99|24.75
859.69|99|19.8
507.5099|99|9.9
851.09|99|4.12
334.4|99|5.82
443.02|99|6.6
365.77|99|5.82
514.795|99|5.5
223.54|99|5.5
981.44502|99|19.8
594.67|99|14.14
594.553|99|14.14
519.1|99|14.14
925.075|99|4.5
322.9541|99|12.38
668.8911|99|3.3
813.709|99|4.95
640.912|99|8.25
640.4|99|14.14
366.2|99|14.14
850.81|99|9.9
420.099|99|12.38
981|99|19.8
371.3|99|4.5
610.905|99|7.62
602|98|7.0
160.37|98|19.6
460|98|8.91
151.7|98|4.9
513.8916|98|24.5
325.54|98|98.0
982.6602|98|24.5
470.99|98|24.5
513|98|4.45
981.26|98|19.6
912.068|98|8.17
802.53|98|6.12
926.0|98|14.0
510.7|98|3.92
811.08|98|1.81
153|98|7.0
181.1|98|10.89
559.962|98|8.91
165.4|98|7.54
5.51|98|19.6
336.3|98|8.91
290.0|98|32.67
566.73|98|9.8
472.01|98|10.89
155.099|98|32.67
527.54|98|16.33
687.13|97|10.78
922.05|97|19.4
811.09|97|1.83
820.9|97|4.85
913.06|97|7.46
513.8915|97|9.7
325.66|97|12.12
521.55|97|5.71
322.81|97|6.93
370.13|97|6.93
548|97|24.25
326.21|97|4.62
688.5|97|16.17
309.3|97|13.86
321.524|96|5.05
160.24|96|13.71
513.819|96|9.6
607.0|96|12.0
593.25|96|8.0
165.11|96|8.0
160.256|96|8.73
671.64|96|8.73
324.59|96|4.17
811.6109|96|4.57
512.5154|96|8.0
152.09|96|9.6
301.0|96|6.86
745.077|96|24.0
372.0|96|4.0
210.0|96|5.65
588|96|8.73
069.04|96|6.4
339.8|96|24.0
550.0|95|15.83
026.09|95|13.57
325.11|95|11.88
235.3|95|5.28
691.204|95|10.56
808.98|95|9.5
174|95|7.92
365.92|95|5.0
325.553|95|19.0
929.9603|95|19.0
200.4|95|7.92
518.3|95|9.5
219.32|95|15.83
555.23|95|11.88
814.6081|95|13.57
24.3|95|10.56
688.028|95|5.59
517.891|94|13.43
911.0745|94|7.83
654.3|94|4.95
194.5|94|6.27
365.5|94|13.43
151.6|94|4.09
606.3|94|6.71
235.35|94|7.83
593.7|94|13.43
334.223|94|18.8
137|94|18.8
325.25|94|8.55
688.099|94|5.88
980.4|94|8.55
004.2213|94|9.4
331.509|94|7.83
543.8|94|5.88
573.53|94|23.5
595.09|94|47.0
349.13|94|2.76
610.913|94|6.71
350.2104|93|8.45
801.9|93|23.25
606.92|93|23.25
349.9|93|6.64
375.144|93|5.17
388.312|93|5.47
981.18502|93|23.25
283|93|10.33
600.422|93|6.2
671.62|93|23.25
574.75|93|11.62
558.3|93|11.62
325.076|93|46.5
610.0|93|9.3
566.172|93|7.15
103|93|8.45
516.1|92|7.67
707.0|92|11.5
024.077|92|46.0
823.6|92|13.14
377.1|92|3.54
852.09|92|4.0
510.99|92|9.2
453.0|92|9.2
322.92|92|6.13
983.1602|92|13.14
568.52|92|13.14
392.1|92|10.22
230.0|92|10.22
152.212|92|7.08
327.54|92|18.4
300.73|92|9.2
911.021|92|8.36
715.7|92|4.6
573.1|92|11.5
563.756|92|18.4
519.9|92|10.22
233.78|92|8.36
911.68|92|10.22
631.2299|92|30.67
491.5|91|9.1
346.12|91|8.27
714.4|91|5.69
511.181|91|11.38
028.5|91|3.37
181.35|91|13.0
330.913|91|6.5
365.2077|91|15.17
596.89|91|10.11
567.43|91|15.17
676.204|91|13.0
367.43|91|7.0
594.5545|91|13.0
824.4|91|7.0
163.7|91|11.38
385.1|91|10.11
619.6|91|91.0
584.98|91|18.2
183.633|91|7.58
166.81|91|18.2
594.3|91|18.2
325.57|91|10.11
164.5|91|8.27
981.18502|91|18.2
234.3|91|5.06
513.16|91|22.75
366.0|91|13.0
540.0|91|5.06
915.0|90|10.0
321.382|90|6.43
4.783|90|15.0
458.63|90|11.25
338.09231|90|22.5
539.704|90|8.18
692.1|90|5.29
982.3702|90|22.5
981.402|90|18.0
511.843|90|18.0
512.421|90|6.92
410.99|90|9.0
983.3402|90|30.0
524.42|90|15.0
322.82|90|3.21
792.87|90|11.25
338.31|90|2.25
342.8099|90|10.0
639.5099|90|22.5
150.04|90|7.5
151.4|90|7.5
596.81|90|8.18
620|90|6.43
412.83|90|12.86
004.613|90|8.18
573.92|90|11.25
514.986|89|8.9
5.104|89|14.83
578.71|89|7.42
166.1|89|12.71
327.0912|89|9.89
026.9|89|4.24
511.476|89|29.67
372.62|89|5.56
301.0911|89|2.54
518.04|89|17.8
739.4|89|5.56
813.6099|89|2.87
228.78|89|8.09
559.9|89|8.09
654.4|89|9.89
367.055|89|14.83
734.4|89|22.25
721.1|89|5.24
4.52|89|22.25
280.0|88|6.77
001.303|88|44.0
653.205|88|8.8
982.3602|88|22.0
309.15|88|4.63
673.04|88|44.0
365.56|88|17.6
181.27|88|12.57
519.647|88|8.8
233.213|88|12.57
377.013|88|29.33
512.5|88|9.78
892.92|88|9.78
26.0|88|8.0
480.25|88|4.89
800.09|88|2.26
519.22|88|14.67
321.393|88|6.77
372.4|88|4.4
530.911|88|3.38
926.068|87|12.43
231.177|87|6.21
830.8|87|29.0
375.143|87|7.25
530.98|87|5.8
188.85|87|14.5
512.42|87|9.67
551|87|5.12
568.7|87|4.83
472.52642|87|12.43
326.201|87|3.35
453.76|87|10.88
189.7|87|9.67
362.11076|87|17.4
191.5|87|17.4
307.3|87|12.43
379.3|87|4.58
698.2|87|10.88
325.73|87|12.43
390.913|87|12.43
336.2|87|2.42
882|87|8.7
481.2|87|7.91
004.21|87|7.91
70.41|87|10.88
942.072|87|14.5
909.51|87|17.4
544.0|87|9.67
151.54|86|12.29
539.98099|86|14.33
610.1|86|14.33
643|86|3.74
558.3|86|6.14
598.132|86|7.82
365.4453|86|21.5
181.8|86|9.56
221.0|86|10.75
380.912|86|3.74
540.1|86|14.33
519.91|86|28.67
350.35|86|21.5
181.92|86|12.29
802.6|86|9.56
334.14|86|5.38
981.1402|86|17.2
325.489|86|9.56
914.5|86|7.82
342.135|86|7.82
926.05|86|8.6
893.0|86|9.56
791.83|86|12.29
519.83|86|10.75
839.81|86|6.14
231.97|86|7.82
324.53|86|28.67
870.99|86|10.75
327.44|86|17.2
325.342|86|8.6
981.4502|86|21.5
992.8|85|12.14
193.2|85|7.08
334.7|85|9.44
233.787|85|14.17
364.45|85|12.14
911.066|85|5.0
160.26|85|21.25
821.2|85|5.67
661.6|85|28.33
334.04|85|12.14
680.1|85|8.5
680.913|85|6.54
327.379|85|10.62
511.135|85|12.14
515.12|85|6.07
685.10911|85|2.02
152.22|85|28.33
332.276|85|5.67
374.8|85|4.72
990.24|85|42.5
309.1141|85|14.17
592.31|85|17.0
162.3|85|12.14
527.4|85|12.14
518.0|85|9.44
813.809|84|3.65
911.89|84|3.11
581.3|84|5.25
512.15|84|6.0
190.1092|84|6.46
336.6|84|4.67
229.0|84|5.25
321.546|84|4.2
529|84|3.5
369.9|84|14.0
811.25|84|2.27
5.58|84|9.33
327.808|84|10.5
180.1|84|16.8
331.23|84|10.5
328.1604|84|28.0
986.02|84|28.0
11.3|84|16.8
562.13|84|28.0
513.8534|84|21.0
349.81|84|3.23
24.41|84|5.25
767.4|84|42.0
523.77|84|14.0
350.35|84|10.5
569.4|83|11.86
201.09|83|13.83
326.16|83|7.55
555.73|83|83.0
698.65|83|11.86
519.77|83|11.86
512.515|83|8.3
914.103|83|16.6
543.0|83|11.86
698.3|83|13.83
814.708|83|1.36
377.3|83|10.38
744.076|83|27.67
909.5|83|7.55
981.32602|83|27.67
326.734|83|11.86
641.6|83|5.93
513.356|83|8.3
519.3994|83|5.93
592.099|83|16.6
860.9|83|9.22
342.13|83|16.6
5.3|83|13.83
440.4|83|7.55
673.83|83|5.93
633.2|83|13.83
381.750911|83|9.22
920.48|83|7.55
515.732|83|27.67
329.432|83|20.75
981.58702|82|11.71
235.88|82|3.42
549.782|82|20.5
443.43|82|7.45
657.5099|82|20.5
540.09111|82|7.45
331.504|82|7.45
480.4|82|13.67
233.01|82|5.47
70.0|82|5.86
539.92|82|6.83
340.91|82|2.65
685.0911|82|3.57
233.087|82|11.71
921.07|82|16.4
892.65|82|5.12
548.95|82|9.11
513.7|82|6.31
513.8131|82|16.4
589.921|82|27.33
110.0|82|9.11
594.3994|82|16.4
340.25|82|8.2
565|82|10.25
519.6|82|6.31
326.1604|82|41.0
5.7534|82|16.4
005.3|82|16.4
649.0|81|20.25
591.8|81|11.57
472.04|81|10.12
001.1|81|7.36
309.1269|81|9.0
497.0025|81|40.5
835|81|11.57
481.634|81|9.0
539.76|81|7.36
649|81|6.75
652.51|81|6.23
897.4|81|6.75
321.93|81|7.36
238.2099|81|5.4
610.04|81|27.0
522.6|81|10.12
070.404|81|9.0
570.62|81|9.0
334.245|81|2.53
610.99|81|13.5
126.504|81|11.57
320.924|81|11.57
233.2|81|11.57
521.87|80|10.0
592.3134|80|40.0
511.177|80|13.33
658.09|80|4.71
350.733|80|11.43
530.099|80|5.0
711.0|80|7.27
236.902|80|7.27
012.77|80|13.33
326.28|80|13.33
592.2042|80|20.0
930.0|80|10.0
340.918|80|11.43
472.52638|80|7.27
670.13|80|11.43
598.10215|80|16.0
814.5|80|6.67
005.4|80|20.0
027.6|80|5.71
337.4|80|2.96
811.909|80|3.48
511.47|80|40.0
378.1|80|16.0
808.8|80|4.71
926.04|80|5.33
941|80|20.0
325.304|80|20.0
913.02|80|8.89
321.531|80|7.27
375.2|80|8.0
696.13|80|8.89
519.099|80|2.29
592.0|80|8.89
033|80|8.0
900.99|80|8.89
942.08|80|7.27
534|80|3.81
830.81|79|9.88
310.12|79|6.08
685.04|79|11.29
619.0|79|5.64
692.09|79|3.76
005.53077|79|19.75
676.24|79|11.29
902.89|79|13.17
579.55|79|11.29
610.92|79|15.8
321.32077|79|39.5
425.0|79|11.29
982.51402|79|26.33
821.409|79|7.18
367.304|79|13.17
476.0162|79|19.75
610.9205|79|15.8
982.5802|79|26.33
325.41|79|19.75
410.17|79|19.75
604.22|79|5.27
511.56|79|13.17
657.18|79|15.8
553.8|79|8.78
837|79|9.88
495.172|79|79.0
340.221|79|6.08
375.34|79|7.9
517.647|79|19.75
699.93|79|11.29
233.45|79|9.88
594.54077|79|39.5
367.434|79|9.88
514.24|79|7.9
677.2|78|9.75
539.95|78|5.57
892.109|78|11.14
321.33|78|4.59
365.42|78|39.0
686|78|13.0
390|78|3.55
566.826|78|11.14
337.0|78|4.59
998.34|78|8.67
342.1099|78|9.75
590.0|78|13.0
430.9|78|13.0
320.91863|78|15.6
148.0|78|6.0
327.26|78|4.11
390.133|78|4.33
714.9|78|6.0
188.3|78|13.0
559.315119|78|19.5
409.9|78|9.75
331.3742|78|11.14
982.8502|78|26.0
327.027|78|13.0
349.82|78|8.67
024.316|78|13.0
800|78|3.55
309.1237|78|39.0
698.4|78|6.5
191.6|78|9.75
301.4|78|4.11
556.77|78|15.6
710.02|78|5.57
540.77|78|11.14
619.5077|77|15.4
724.4|77|4.28
155.8|77|12.83
998.5|77|7.0
334.226|77|7.7
863.099|77|6.42
382|77|15.4
338.181|77|12.83
363.2|77|38.5
004.7|77|9.62
892.89|77|25.67
540.4|77|9.62
685.5099|77|11.0
679.04|77|7.7
412.82|77|9.62
374.692|77|2.85
485.1604|77|7.7
710.19|77|4.53
673.2|77|4.28
518.372|77|7.7
322.42|77|5.92
904.0|77|7.7
559.17|77|8.56
671.12|77|12.83
531.15|77|8.56
911.047|77|8.56
331.43|77|2.41
420.04|77|25.67
102|77|5.5
426.7|77|19.25
307.324|77|9.62
515.731|77|15.4
513.8099|77|11.0
375.14|77|5.5
692.3|77|4.28
321.563|77|9.62
201.8|76|15.2
653.257|76|25.33
440.9|76|6.91
320.9141|76|12.67
912.07|76|10.86
601.5|76|2.71
012.96|76|5.07
943|76|6.33
151.5|76|3.62
232.85|76|12.67
309.1147|76|8.44
321.52|76|25.33
925.073|76|19.0
594.36|76|12.67
555.73|76|25.33
495.17|76|6.91
981.502|76|8.44
981.14702|76|19.0
341.07|76|19.0
539.912|76|1.58
983.8402|76|15.2
004.66|76|19.0
187.099|76|25.33
911.0728|76|2.05
512.123|76|12.67
481.23|76|38.0
548.6|76|19.0
620.905|76|25.33
620.4|76|6.91
593.09|76|15.2
520.99|76|8.44
375.32|76|6.91
370.942|75|4.69
692.01|75|3.26
911.92|75|4.17
913.055|75|12.5
991.108|75|8.33
715.4|75|4.69
412.0|75|25.0
566.882|75|12.5
443.4|75|10.71
564.0|75|25.0
309.142|75|9.38
577.1|75|10.71
910.5|75|4.69
388.112|75|10.71
491.38|75|9.38
688.01|75|10.71
679.09|75|3.12
